name,country,region,sector,sub_sector,stage,website,description,source_url,market_score,problem_pain_score,product_maturity_score,traction_score,team_score,technical_moat_score,valuation_score,investor_quality_score,exit_potential_score,risk_score,kamel_edge_score
Mistral AI,France,Europe,AI Infrastructure,Foundation models / enterprise AI,Series B+,https://mistral.ai,European AI company building frontier and open-weight models for enterprise and developer use.,https://mistral.ai,15,9,10,14,15,14,5,5,5,6,18
H Company,France,Europe,AI Agents,Agentic AI / automation,Seed/Series A,https://www.hcompany.ai,AI company focused on agentic systems and workplace automation.,https://www.hcompany.ai,14,9,7,8,13,12,6,4,4,7,20
Dust,France,Europe,AI Agents,Enterprise agents / internal tools,Series A,https://dust.tt,Platform for building custom AI assistants connected to company knowledge and workflows.,https://dust.tt,13,8,8,9,12,10,7,4,4,6,22
Poolside,France,Europe,AI Coding,Software engineering AI,Series B+,https://poolside.ai,AI company focused on software development models and coding assistance.,https://poolside.ai,14,9,8,9,13,13,5,5,5,7,19
PhotoRoom,France,Europe,AI Application,Generative AI image editing,Series B,https://www.photoroom.com,AI-powered image editing platform for commerce and creators.,https://www.photoroom.com,12,8,9,12,12,9,7,4,4,5,12
Hugging Face,United States,Global,AI Infrastructure,Models / datasets / collaboration,Series D+,https://huggingface.co,Platform and community for machine learning models datasets and AI applications.,https://huggingface.co,15,9,10,15,15,15,4,5,5,5,18
LangChain,United States,Global,AI Infrastructure,LLM application framework,Series B,https://www.langchain.com,Framework and platform for building LLM applications and agentic workflows.,https://www.langchain.com,14,9,9,13,13,12,6,5,5,6,23
LlamaIndex,United States,Global,AI Infrastructure,RAG / data framework,Series A,https://www.llamaindex.ai,Data framework for connecting enterprise data to LLM applications and agents.,https://www.llamaindex.ai,13,9,9,11,12,12,7,4,4,6,23
Weaviate,Netherlands,Europe,Data Infrastructure,Vector database / AI-native database,Series B,https://weaviate.io,Open-source vector database for AI-native search and retrieval use cases.,https://weaviate.io,13,8,9,12,12,11,7,4,4,5,20
Qdrant,Germany,Europe,Data Infrastructure,Vector database,Series A,https://qdrant.tech,Open-source vector search database for AI applications.,https://qdrant.tech,13,8,9,10,11,11,8,4,4,5,20
MotherDuck,United States,Global,Data Infrastructure,Cloud analytics / DuckDB,Series B,https://motherduck.com,Cloud analytics platform built around DuckDB for modern data workloads.,https://motherduck.com,12,8,8,10,12,10,7,4,4,5,17
Baseten,United States,Global,AI Infrastructure,Inference platform,Series D,https://www.baseten.co,Platform for deploying serving and scaling machine learning models in production.,https://www.baseten.co,15,9,9,13,13,13,5,5,5,6,21
Together AI,United States,Global,AI Infrastructure,Inference / training cloud,Series B+,https://www.together.ai,Cloud platform for training fine-tuning and running open-source generative AI models.,https://www.together.ai,15,9,9,13,13,13,5,5,5,6,21
Crusoe,United States,Global,GPU Cloud,AI cloud / infrastructure,Series D+,https://crusoe.ai,AI infrastructure cloud company focused on GPU compute and energy-aware data centers.,https://crusoe.ai,14,9,8,12,13,11,5,5,4,7,16
Exoscale,Switzerland,Europe,Cloud Infrastructure,European cloud / compute,Growth,https://www.exoscale.com,Swiss cloud platform offering compute storage and managed services for European workloads.,https://www.exoscale.com,10,7,9,11,10,7,8,3,3,4,16
Picterra,Switzerland,Europe,Satellite / Geospatial,Remote sensing platform,Series A,https://picterra.ch,Geospatial AI platform for extracting insights from satellite and aerial imagery.,https://picterra.ch,12,8,8,8,10,10,8,3,4,5,24
Kayrros,France,Europe,Climate / MRV,Energy intelligence / methane monitoring,Growth,https://www.kayrros.com,Climate and energy intelligence company using satellite data to monitor emissions and assets.,https://www.kayrros.com,14,9,9,12,12,13,6,4,5,5,24
Carbon Mapper,United States,Global,Climate / MRV,Methane and CO2 monitoring,Nonprofit / climate tech,https://carbonmapper.org,Climate initiative using satellites and data to detect greenhouse gas point-source emissions.,https://carbonmapper.org,13,9,8,8,12,13,8,4,4,5,22
Yassir,Algeria,MENA,Super App / Mobility,Payments / delivery / mobility,Series B,https://yassir.com,Algerian-founded super app offering mobility delivery and payment services in multiple markets.,https://yassir.com,12,8,9,12,12,7,6,4,4,6,15
LabLabee,Algeria,MENA,Telecom / Cloud Training,Network labs / cloud-native training,Seed,https://www.lablabee.com,Hands-on lab platform for telecom cloud and network technologies.,https://www.lablabee.com,10,7,8,7,10,8,8,3,3,5,17
Figure AI,United States,Global,Physical AI / Robotics,Humanoid robots / embodied AI,Growth,https://www.figure.ai,Humanoid robotics company developing general-purpose AI-powered robots for industrial and future home use.,https://www.figure.ai,15,9,8,12,14,14,4,5,5,8,20
Physical Intelligence,United States,Global,Physical AI / Robotics,Robot foundation models,Growth,https://www.physicalintelligence.company,AI robotics company building general-purpose robot foundation models for controlling physical systems.,https://www.physicalintelligence.company,15,9,7,9,14,15,5,5,5,8,21
Skild AI,United States,Global,Physical AI / Robotics,Robotics foundation model / general robot brain,Growth,https://www.skild.ai,Robotics AI company developing a general-purpose robotics foundation model designed to work across robot embodiments and tasks.,https://www.skild.ai,15,9,8,10,14,15,4,5,5,8,21
1X Technologies,Norway,Europe,Physical AI / Robotics,Humanoid home robots,Series B+,https://www.1x.tech,Humanoid robotics company developing general-purpose robots for home and service environments.,https://www.1x.tech,14,8,7,8,12,12,6,4,4,8,18
Apptronik,United States,Global,Physical AI / Robotics,Humanoid industrial robots,Growth,https://apptronik.com,Humanoid robotics company developing Apollo robots for industrial work and real-world task training.,https://apptronik.com,14,8,8,10,12,12,5,4,4,8,17
Agility Robotics,United States,Global,Physical AI / Robotics,Bipedal warehouse robots,Growth,https://agilityrobotics.com,Robotics company developing Digit bipedal robots for warehouse and logistics automation.,https://agilityrobotics.com,13,8,8,10,11,11,7,4,4,7,16
Unitree Robotics,China,Asia,Physical AI / Robotics,Humanoid and quadruped robots,Growth,https://www.unitree.com,Robotics company known for quadruped and humanoid robots with aggressive hardware iteration and cost positioning.,https://www.unitree.com,14,8,8,11,11,11,7,4,4,7,14
Sanctuary AI,Canada,Global,Physical AI / Robotics,General-purpose humanoid robots,Growth,https://www.sanctuary.ai,Robotics company developing humanoid systems and AI control for general-purpose labor automation.,https://www.sanctuary.ai,13,8,7,8,11,12,7,4,4,8,17
NEURA Robotics,Germany,Europe,Physical AI / Robotics,Cognitive robots / humanoids,Growth,https://www.neura-robotics.com,European robotics company building cognitive robots and humanoid systems for industrial and service applications.,https://www.neura-robotics.com,13,8,8,9,11,11,7,4,4,7,16
Dexterity,United States,Global,Physical AI / Robotics,Warehouse robotic manipulation,Growth,https://www.dexterity.ai,Robotics company developing AI-powered robotic manipulation systems for logistics and warehouse automation.,https://www.dexterity.ai,12,8,8,10,11,10,8,4,4,6,15
Covariant,United States,Global,Physical AI / Robotics,Robotic picking and AI manipulation,Growth,https://covariant.ai,AI robotics company focused on robotic picking and machine learning systems for warehouse automation.,https://covariant.ai,12,8,8,10,12,11,8,4,4,6,15
Anysphere,United States,Global,AI Coding,AI coding IDE / agentic software engineering,Series D+,https://www.cursor.com,Company behind Cursor AI coding IDE; high-growth developer tool with product brand much better known than company name.,https://www.cursor.com,15,10,10,15,15,14,3,5,5,8,24
Nous Research,United States,Global,AI Infrastructure,Open-source models / decentralized training,Growth,https://nousresearch.com,Open-source AI research company associated with Hermes models and DiStrO distributed training approach.,https://nousresearch.com,13,8,8,9,12,13,7,4,4,7,20
Cognition AI,United States,Global,AI Coding,Autonomous software engineering / Windsurf / Devin,Growth,https://cognition.ai,AI software engineering company behind Devin and owner or operator of Windsurf context to validate.,https://cognition.ai,15,10,9,14,15,14,4,5,5,8,22
Lovable,Sweden,Europe,AI Coding,Vibe coding app builder,Series B+,https://lovable.dev,AI app builder enabling users to create web apps from natural language prompts.,https://lovable.dev,15,10,10,15,13,11,4,5,5,8,21
Replit,United States,Global,AI Coding,Cloud IDE / Replit Agent,Growth,https://replit.com,Developer platform and cloud IDE with AI agent for building and deploying applications.,https://replit.com,14,9,10,14,13,11,5,5,5,7,21
StackBlitz,United States,Global,AI Coding,Bolt.new / browser-based app builder,Growth,https://bolt.new,Company behind Bolt.new for generating and editing applications in the browser.,https://bolt.new,14,9,9,13,12,10,6,4,4,7,19
Vercel,United States,Global,AI Coding,v0 / frontend generation / deployment,Growth,https://v0.dev,Frontend cloud and developer platform behind v0 for AI UI and app generation.,https://v0.dev,14,9,10,13,14,12,5,5,5,6,19
OpenAI,United States,Global,AI Coding,Codex / coding agents,Private AI platform,https://chatgpt.com/codex,AI company behind Codex coding agents; strategic platform comparable not direct startup target.,https://chatgpt.com/codex,15,10,10,15,15,15,2,5,5,7,20
Anthropic,United States,Global,AI Coding,Claude Code / coding agents,Private AI platform,https://www.anthropic.com,AI company behind Claude Code; strategic platform comparable not direct startup target.,https://www.anthropic.com,15,10,10,15,15,15,2,5,5,7,20
Augment,United States,Global,AI Coding,Enterprise AI coding assistant,Growth,https://www.augmentcode.com,Enterprise-focused AI coding assistant and agentic developer platform.,https://www.augmentcode.com,14,9,9,12,13,12,6,4,4,7,20
Sourcegraph,United States,Global,AI Coding,Code intelligence / Cody / Amp,Growth,https://sourcegraph.com,Code intelligence platform with AI coding assistants and agentic development tools.,https://sourcegraph.com,13,8,9,11,12,11,7,4,4,6,19
Factory AI,United States,Global,AI Coding,Software engineering agents / Droids,Series A,https://www.factory.ai,AI software engineering platform building agents for coding tasks and engineering workflows.,https://www.factory.ai,13,9,8,10,12,12,7,4,4,7,20
Continue,United States,Global,AI Coding,Open-source coding assistant,Seed,https://www.continue.dev,Open-source AI code assistant and framework for developer workflows.,https://www.continue.dev,12,8,8,9,10,10,8,3,3,6,20
